"","Tratamiento","Suelo","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","camargo","pielou","simpson","evar","bulla"
"S81","Bioestimulante","No salino",3961,3992.75214723926,7.12414061995879,4057.03168800973,29.0919964976207,7.70553775124392,0.999309030466014,1447.24181141778,1100.10049257727,0.432936203910032,0.930142871014118,0.365372838025191,0.476466970983131,0.562851618133614
"S82","Control","No salino",2371,2408.87313432836,8.62593218301705,2448.06885118317,23.1505304322751,7.16752058592981,0.998806084733389,837.58037774176,635.212900271234,1,0.922334153926191,0.35326038706949,0.444590492726341,0.552775121884727
"S83","Control","Salino",3177,3236.05172413793,10.7431670901302,3303.0793702688,25.9183316338455,7.40969368408723,0.998956083862926,957.931355293466,896.692859300495,1,0.918895848360727,0.301520728767223,0.46810639025287,0.547448146334863
"S85","Bioestimulante","Salino",5249,5279.92636579572,6.73761722843131,5369.94833478825,32.8815632555442,7.95902497967477,0.999451932604729,1824.59312235823,1477.80265608408,1,0.929163839074107,0.3476077581174,0.477083348505207,0.551181226607565
