"","reads.in","reads.out"
"JVCH1_BARQUEAS_S180706_180727_180806_R1.fastq",115870,59708
"JVCH2_BARQUEAS_S180706_180727_180806_R1.fastq",106786,59201
"JVCH3_BARQUEAS_S180706_180727_180806_R1.fastq",90203,52326
